user_id,session_id,event_time,event_type,product_category,device_type,traffic_source
1,S00001,2025-04-27 09:41:00,visit,Electronics,Mobile,Social
1,S00001,2025-04-27 09:44:00,product_view,Electronics,Tablet,Direct
1,S00001,2025-04-27 09:51:00,add_to_cart,Electronics,Mobile,Organic
1,S00001,2025-04-27 10:00:00,purchase,Sports,Mobile,Direct
2,S00002,2025-02-06 04:44:00,visit,Sports,Desktop,Paid Search
2,S00002,2025-02-06 04:49:00,product_view,Electronics,Mobile,Email
2,S00002,2025-02-06 04:52:00,add_to_cart,Fashion,Desktop,Organic
2,S00002,2025-02-06 04:54:00,purchase,Home,Desktop,Direct
3,S00003,2025-02-18 03:42:00,visit,Electronics,Tablet,Email
3,S00003,2025-02-18 03:49:00,product_view,Electronics,Tablet,Social
4,S00004,2025-04-23 14:21:00,visit,Home,Tablet,Paid Search
4,S00004,2025-04-23 14:22:00,product_view,Fashion,Desktop,Organic
5,S00005,2025-06-07 17:43:00,visit,Electronics,Desktop,Social
5,S00005,2025-06-07 17:49:00,product_view,Fashion,Desktop,Social
5,S00005,2025-06-07 17:54:00,add_to_cart,Electronics,Tablet,Paid Search
5,S00005,2025-06-07 17:58:00,purchase,Fashion,Desktop,Email
6,S00006,2025-02-19 03:25:00,visit,Sports,Mobile,Social
7,S00007,2025-05-22 06:23:00,visit,Electronics,Mobile,Organic
7,S00007,2025-05-22 06:30:00,product_view,Home,Mobile,Paid Search
8,S00008,2025-04-14 06:02:00,visit,Home,Mobile,Email
8,S00008,2025-04-14 06:10:00,product_view,Fashion,Desktop,Paid Search
8,S00008,2025-04-14 06:15:00,add_to_cart,Sports,Desktop,Direct
8,S00008,2025-04-14 06:19:00,purchase,Fashion,Tablet,Email
9,S00009,2025-01-17 13:11:00,visit,Electronics,Mobile,Paid Search
9,S00009,2025-01-17 13:18:00,product_view,Sports,Mobile,Email
9,S00009,2025-01-17 13:26:00,add_to_cart,Sports,Desktop,Direct
10,S00010,2025-01-03 02:09:00,visit,Electronics,Tablet,Direct
10,S00010,2025-01-03 02:15:00,product_view,Electronics,Desktop,Email
10,S00010,2025-01-03 02:16:00,add_to_cart,Home,Tablet,Paid Search
10,S00010,2025-01-03 02:18:00,purchase,Home,Tablet,Direct
11,S00011,2025-04-21 20:37:00,visit,Fashion,Mobile,Social
11,S00011,2025-04-21 20:46:00,product_view,Sports,Mobile,Direct
11,S00011,2025-04-21 20:47:00,add_to_cart,Electronics,Desktop,Social
11,S00011,2025-04-21 20:51:00,purchase,Sports,Mobile,Organic
12,S00012,2025-05-14 05:45:00,visit,Beauty,Mobile,Direct
12,S00012,2025-05-14 05:48:00,product_view,Beauty,Tablet,Paid Search
12,S00012,2025-05-14 05:55:00,add_to_cart,Fashion,Tablet,Paid Search
13,S00013,2025-03-14 15:13:00,visit,Home,Desktop,Direct
13,S00013,2025-03-14 15:17:00,product_view,Fashion,Mobile,Social
13,S00013,2025-03-14 15:21:00,add_to_cart,Sports,Mobile,Organic
13,S00013,2025-03-14 15:32:00,purchase,Electronics,Mobile,Organic
14,S00014,2025-06-14 19:50:00,visit,Electronics,Desktop,Organic
14,S00014,2025-06-14 19:55:00,product_view,Beauty,Mobile,Direct
